Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
2580,11,7,0,6,16,10,0,0,0,0,0,0,0,0,0,0,0
2590,5,10,0,0,9,14,0,0,0,0,0,2,0,0,0,0,0
2600,0,9,10,0,0,11,0,0,0,0,0,8,0,0,0,0,0
2610,0,0,9,4,0,2,0,0,0,0,0,5,0,1,4,2,0
2620,0,0,11,0,0,0,0,0,0,0,0,1,2,0,3,4,2
2630,10,0,14,0,0,0,0,0,0,0,0,1,2,0,0,1,2
2640,12,4,14,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2650,3,15,8,11,9,0,0,0,0,0,0,0,0,0,0,0,0
2660,6,8,2,17,7,5,0,0,0,0,0,0,0,0,0,0,0
2670,10,5,0,17,15,7,0,0,0,0,0,0,0,0,0,0,0
2680,3,6,0,8,13,9,0,0,0,0,0,0,0,0,0,0,0
2690,9,6,0,0,11,8,0,0,0,0,0,2,0,0,0,0,0
2700,0,6,9,0,0,16,0,0,0,0,0,6,0,0,0,0,0
2710,0,0,18,2,0,2,0,0,0,0,0,1,3,1,4,2,0
2720,0,0,18,0,0,0,0,0,0,0,0,3,5,1,6,4,1
2730,5,0,16,0,0,0,0,0,0,0,0,1,0,3,1,3,2
2740,23,4,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2750,19,16,4,8,7,0,0,0,0,0,0,0,0,0,1,0,0
2760,8,20,3,19,9,1,0,0,0,0,0,0,0,0,0,0,0
2770,8,18,0,15,10,8,0,0,0,0,0,0,0,0,0,0,0
2780,7,7,0,12,15,9,0,0,0,0,0,0,0,0,0,0,0
2790,5,7,0,2,9,11,0,0,0,0,0,0,0,0,0,0,0
2800,0,0,5,1,4,9,0,0,0,0,0,8,0,0,0,0,0
2810,0,0,14,0,0,3,0,0,0,0,0,10,0,0,2,1,0
2820,0,0,11,0,0,1,0,0,0,0,0,4,1,0,2,2,0
2830,5,0,14,0,0,0,0,0,0,0,0,0,3,1,0,0,0
