Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
2100,13,10,13,5,8,4,0,0,0,0,0,0,0,0,0,0,1
2110,8,15,7,10,7,11,0,0,0,0,0,0,0,0,0,0,0
2120,6,15,13,5,9,14,0,0,0,0,0,0,0,0,0,0,0
2130,6,11,11,8,6,6,0,0,0,0,0,0,0,0,0,0,0
2140,2,11,14,8,9,7,0,0,0,0,0,4,0,0,0,0,0
2150,0,6,11,9,4,4,0,0,0,0,0,6,1,1,0,0,0
2160,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,1
2170,18,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,0
2180,13,9,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0
2190,9,13,15,8,9,4,0,0,0,0,0,0,0,0,0,0,0
2200,9,9,15,13,8,12,0,0,0,0,0,0,0,0,0,0,0
2210,5,7,11,11,11,13,0,0,0,0,0,0,0,0,0,0,0
2220,10,10,8,6,9,7,0,0,0,0,0,0,0,0,0,0,0
2230,2,8,13,5,4,8,0,0,0,0,0,4,0,0,0,0,0
2240,0,8,8,7,8,6,0,0,0,0,0,3,1,1,0,0,0
2250,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3
2260,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4
2270,16,10,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
2280,15,14,15,6,3,4,0,0,0,0,0,0,0,0,0,0,0
2290,12,11,11,12,8,10,0,0,0,0,0,0,0,0,0,0,0
2300,11,10,13,9,8,5,0,0,0,0,0,0,0,0,0,0,0
2310,8,13,14,7,8,7,0,0,0,0,0,0,0,0,0,0,0
2320,0,14,15,11,7,6,0,0,0,0,0,4,0,0,0,0,0
2330,0,5,12,9,6,9,0,0,0,0,0,7,1,1,0,0,0
2340,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,3,2
2350,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
2360,11,10,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2370,9,15,15,12,11,4,0,0,0,0,0,0,0,0,0,0,0
2380,9,6,14,9,11,12,0,0,0,0,0,0,0,0,0,0,0
2390,7,5,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0
2400,7,12,12,8,11,12,0,0,0,0,0,0,0,0,0,0,0
2410,0,10,12,9,8,8,0,0,0,0,0,4,0,0,0,0,0
2420,0,6,10,5,9,9,0,0,0,0,0,8,1,1,0,0,0
2430,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,3,3
2440,19,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2
2450,17,10,5,4,4,0,0,0,0,0,0,0,0,0,1,2,1
2460,13,14,13,8,7,4,0,0,0,0,0,0,0,0,0,0,0
2470,4,15,15,9,9,12,0,0,0,0,0,0,0,0,0,0,0
2480,8,12,16,12,7,7,0,0,0,0,0,0,0,0,0,0,0
2490,7,4,16,10,9,7,0,0,0,0,0,0,0,0,0,0,0
2500,1,6,10,11,11,8,0,0,0,0,0,4,0,0,0,0,0
2510,0,4,7,7,9,9,0,0,0,0,0,6,1,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,3,2
2530,16,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2
2540,16,9,5,3,4,0,0,0,0,0,0,0,0,0,0,1,0
2550,8,11,11,7,11,4,0,0,0,0,0,0,0,0,0,0,0
2560,8,11,12,10,6,13,0,0,0,0,0,0,0,0,0,0,0
2570,5,7,10,9,8,13,0,0,0,0,0,0,0,0,0,0,0
2580,7,6,8,7,7,6,0,0,0,0,0,0,0,0,0,0,0
2590,2,5,6,5,5,8,0,0,0,0,0,4,0,0,0,0,0
2600,0,4,6,5,3,3,0,0,0,0,0,7,1,0,0,0,0
2610,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,0
2620,18,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1
2630,15,8,5,4,4,0,0,0,0,0,0,0,0,0,0,1,1
2640,18,12,12,5,7,4,0,0,0,0,0,0,0,0,0,0,0
2650,12,16,9,8,7,11,0,0,0,0,0,0,0,0,0,0,0
2660,5,13,14,9,7,6,0,0,0,0,0,0,0,0,0,0,0
2670,6,11,14,12,9,4,0,0,0,0,0,0,0,0,0,0,0
2680,0,7,12,11,10,6,0,0,0,0,0,4,0,0,0,0,0
2690,0,3,9,8,8,6,0,0,0,0,0,6,1,0,0,0,0
2700,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,1
2710,16,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0
2720,10,9,5,4,4,0,0,0,0,0,0,0,0,0,1,1,0
2730,5,12,13,10,11,4,0,0,0,0,0,0,0,0,0,0,0
2740,8,6,15,12,8,11,0,0,0,0,0,0,0,0,0,0,0
2750,6,8,8,12,11,12,0,0,0,0,0,0,0,0,0,0,0
2760,8,2,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0
2770,0,7,4,3,6,10,0,0,0,0,0,4,0,0,0,0,0
2780,0,5,5,3,5,5,0,0,0,0,0,7,0,1,0,0,0
2790,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,3,2
2800,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
2810,14,8,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0
2820,9,10,9,5,7,4,0,0,0,0,0,0,0,0,0,0,0
2830,7,13,10,9,4,6,0,0,0,0,0,0,0,0,0,0,0
2840,5,13,14,10,7,4,0,0,0,0,0,0,0,0,0,0,0
2850,6,8,11,9,10,7,0,0,0,0,0,0,0,0,0,0,0
2860,0,6,12,10,6,5,0,0,0,0,0,4,0,0,0,0,0
2870,0,2,5,6,9,9,0,0,0,0,0,7,1,1,0,0,0
2880,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,3,3
2890,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
2900,13,7,5,3,4,0,0,0,0,0,0,0,0,0,0,1,0
2910,12,12,13,7,8,4,0,0,0,0,0,0,0,0,0,0,0
2920,8,13,10,12,7,11,0,0,0,0,0,0,0,0,0,0,0
2930,8,10,8,6,12,4,0,0,0,0,0,0,0,0,0,0,0
2940,7,11,11,8,7,8,0,0,0,0,0,0,0,0,0,0,0
2950,1,7,7,7,7,9,0,0,0,0,0,4,0,0,0,0,0
2960,0,4,11,4,3,2,0,0,0,0,0,7,1,0,0,0,0
2970,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,3,1
2980,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
2990,12,6,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0
3000,6,14,14,9,9,4,0,0,0,0,0,0,0,0,0,0,0
3010,7,14,9,12,10,9,0,0,0,0,0,0,0,0,0,0,0
